country,year,age,sex,education,occupation,internet_use,cult_ballet,cult_cinema,cult_theatre,cult_concert,cult_library,cult_monuments,cult_museum,cult_ballet_bin,cult_cinema_bin,cult_theatre_bin,cult_concert_bin,cult_library_bin,cult_monuments_bin,cult_museum_bin,part_index,part_any,internet_use_rev,education_cat,female,year_2013,gdp_pc,culture_exp
BE,2007,21,2,98,2,1,1,4,2,2,4,3,2,0,1,1,1,1,1,1,6,1,6,high,1,0,29054.7,1.2
BE,2007,19,1,98,2,1,1,3,2,3,1,2,1,0,1,1,1,0,1,0,4,1,6,high,0,0,29054.7,1.2
BE,2007,23,1,98,2,1,1,3,1,1,4,3,3,0,1,0,0,1,1,1,4,1,6,high,0,0,29054.7,1.2
BE,2007,24,2,18,3,1,1,4,1,3,1,3,1,0,1,0,1,0,1,0,3,1,6,medium,1,0,29054.7,1.2
BE,2007,20,1,98,2,1,1,4,1,3,4,4,4,0,1,0,1,1,1,1,5,1,6,high,0,0,29054.7,1.2
BE,2007,24,1,18,3,1,1,4,1,2,1,2,2,0,1,0,1,0,1,1,4,1,6,medium,0,0,29054.7,1.2
BE,2007,15,2,98,2,1,1,2,2,1,1,1,1,0,1,1,0,0,0,0,2,1,6,high,1,0,29054.7,1.2
BE,2007,23,1,19,17,1,1,3,1,1,1,1,1,0,1,0,0,0,0,0,1,1,6,medium,0,0,29054.7,1.2
BE,2007,26,1,18,8,1,1,4,1,1,1,1,1,0,1,0,0,0,0,0,1,1,6,medium,0,0,29054.7,1.2
BE,2007,29,1,24,7,1,2,1,1,2,1,4,2,1,0,0,1,0,1,1,4,1,6,high,0,0,29054.7,1.2
BE,2007,25,2,21,3,3,2,3,2,3,4,4,2,1,1,1,1,1,1,1,7,1,4,high,1,0,29054.7,1.2
BE,2007,16,2,98,2,1,1,3,2,1,3,2,1,0,1,1,0,1,1,0,4,1,6,high,1,0,29054.7,1.2
BE,2007,20,1,18,17,2,1,4,1,4,4,4,3,0,1,0,1,1,1,1,5,1,5,medium,0,0,29054.7,1.2
BE,2007,22,2,21,15,1,1,3,1,1,4,1,1,0,1,0,0,1,0,0,2,1,6,high,1,0,29054.7,1.2
BE,2007,18,1,98,2,1,1,4,2,4,4,4,3,0,1,1,1,1,1,1,6,1,6,high,0,0,29054.7,1.2
BE,2007,16,2,98,2,1,4,4,2,1,4,4,4,1,1,1,0,1,1,1,6,1,6,high,1,0,29054.7,1.2
BE,2007,15,1,98,2,1,1,2,1,4,1,4,2,0,1,0,1,0,1,1,4,1,6,high,0,0,29054.7,1.2
BE,2007,21,1,98,2,1,1,2,1,3,4,3,4,0,1,0,1,1,1,1,5,1,6,high,0,0,29054.7,1.2
BE,2007,19,1,98,2,2,2,4,1,2,4,2,1,1,1,0,1,1,1,0,5,1,5,high,0,0,29054.7,1.2
BE,2007,18,2,98,2,1,3,4,4,4,4,4,4,1,1,1,1,1,1,1,7,1,6,high,1,0,29054.7,1.2
BE,2007,22,2,98,2,2,1,4,3,2,3,1,3,0,1,1,1,1,0,1,5,1,5,high,1,0,29054.7,1.2
BE,2007,16,1,98,2,1,1,4,2,1,2,2,3,0,1,1,0,1,1,1,5,1,6,high,0,0,29054.7,1.2
BE,2007,23,2,17,13,1,2,3,1,2,1,3,1,1,1,0,1,0,1,0,4,1,6,medium,1,0,29054.7,1.2
BE,2007,27,1,24,13,1,2,3,2,1,2,1,2,1,1,1,0,1,0,1,5,1,6,high,0,0,29054.7,1.2
BE,2007,15,1,98,2,1,3,3,2,3,4,1,1,1,1,1,1,1,0,0,5,1,6,high,0,0,29054.7,1.2
BE,2007,19,2,98,2,1,1,3,1,1,3,1,1,0,1,0,0,1,0,0,2,1,6,high,1,0,29054.7,1.2
BE,2007,18,2,98,2,2,1,4,1,2,4,2,2,0,1,0,1,1,1,1,5,1,5,high,1,0,29054.7,1.2
BE,2007,20,1,98,2,2,2,3,2,2,1,1,1,1,1,1,1,0,0,0,4,1,5,high,0,0,29054.7,1.2
BE,2007,24,1,19,17,1,1,4,1,2,1,1,1,0,1,0,1,0,0,0,2,1,6,medium,0,0,29054.7,1.2
BE,2007,22,1,98,2,1,1,3,1,2,3,1,2,0,1,0,1,1,0,1,4,1,6,high,0,0,29054.7,1.2
BE,2007,20,2,98,2,1,1,2,1,1,4,2,2,0,1,0,0,1,1,1,4,1,6,high,1,0,29054.7,1.2
BE,2007,23,1,98,2,1,1,2,2,1,2,2,2,0,1,1,0,1,1,1,5,1,6,high,0,0,29054.7,1.2
BE,2007,23,2,18,17,2,1,1,1,1,2,2,2,0,0,0,0,1,1,1,3,1,5,medium,1,0,29054.7,1.2
BE,2007,29,2,18,3,2,1,3,1,2,3,2,1,0,1,0,1,1,1,0,4,1,5,medium,1,0,29054.7,1.2
BE,2007,21,2,98,2,2,1,1,1,1,2,1,1,0,0,0,0,1,0,0,1,1,5,high,1,0,29054.7,1.2
BE,2007,26,2,21,15,5,1,1,2,1,2,1,1,0,0,1,0,1,0,0,2,1,2,high,1,0,29054.7,1.2
BE,2007,17,2,98,2,1,1,4,2,2,2,2,1,0,1,1,1,1,1,0,5,1,6,high,1,0,29054.7,1.2
BE,2007,15,1,98,2,3,1,4,2,2,4,3,3,0,1,1,1,1,1,1,6,1,4,high,0,0,29054.7,1.2
BE,2007,15,2,98,2,2,1,4,2,2,4,3,2,0,1,1,1,1,1,1,6,1,5,high,1,0,29054.7,1.2
BE,2007,18,1,98,2,2,1,2,1,1,2,2,1,0,1,0,0,1,1,0,3,1,5,high,0,0,29054.7,1.2
BE,2007,15,2,98,2,1,1,4,1,2,2,2,2,0,1,0,1,1,1,1,5,1,6,high,1,0,29054.7,1.2
BE,2007,26,2,20,8,5,1,1,1,1,2,1,1,0,0,0,0,1,0,0,1,1,2,high,1,0,29054.7,1.2
